slug,path,cluster,priority,title,primary_keyword,status,publish_date,refresh_due,gsc_clicks_30d,gsc_clicks_90d,notes
are-tiktok-diamonds-real,/blog/are-tiktok-diamonds-real/,1 Investigations,P0,Are the diamonds in TikTok live auctions real?,are tiktok diamond auctions real,published,,,,,
ebay-lab-diamonds-moissanite,/blog/ebay-lab-diamonds-moissanite/,1 Investigations,P0,Blowing the whistle on fake lab diamonds on eBay,ebay lab diamonds moissanite,published,,,,,
temu-amazon-lab-diamond-rings-real,/blog/temu-amazon-lab-diamond-rings-real/,1 Investigations,P1,Are Temu and Amazon lab grown diamond rings real? We bought 20.,temu lab grown diamond real,backlog,,,,,
instagram-facebook-diamond-sellers-real,/blog/instagram-facebook-diamond-sellers-real/,1 Investigations,P1,Are the diamonds sold in Instagram and Facebook DMs real?,instagram diamond seller legit,backlog,,,,,
lab-diamond-price-tracker,/blog/lab-diamond-price-tracker/,1 Investigations,P1,Retail lab diamond price tracker (monthly),lab grown diamond price per carat 2026,backlog,,,,,
jewelry-store-markup-engagement-rings,/blog/jewelry-store-markup-engagement-rings/,1 Investigations,P1,"How much markup is in a jewelry store engagement ring? Same ring, 5 retailers.",jewelry store markup engagement ring,backlog,,,,,
diamond-testers-moissanite,/blog/diamond-testers-moissanite/,1 Investigations,P2,Do cheap diamond testers work on moissanite? We tested 8.,diamond tester moissanite,backlog,,,,,
etsy-lab-diamond-rings-legit,/blog/etsy-lab-diamond-rings-legit/,1 Investigations,P2,Are Etsy lab diamond engagement rings legit?,etsy lab diamond ring legit,backlog,,,,,
verify-diamond-certificate,/blog/verify-diamond-certificate/,1 Investigations,P2,Fake IGI and GIA certificates: verify a report in 60 seconds,verify igi report,backlog,,,,,
same-diamond-igi-gia,/blog/same-diamond-igi-gia/,1 Investigations,P2,We sent the same lab diamond to IGI and GIA,igi vs gia grading difference,backlog,,,,,
as-grown-lab-diamond,/blog/as-grown-lab-diamond/,1 Investigations,P2,What does as-grown lab diamond mean?,as grown lab diamond,backlog,,,,,
mall-jeweler-vs-online-vs-custom,/blog/mall-jeweler-vs-online-vs-custom/,1 Investigations,P3,"Mall jeweler vs online vs custom: $5,000 spent three ways",mall jeweler vs custom,backlog,,,,,
lab-diamond-quality-tiers,/blog/lab-diamond-quality-tiers/,1 Investigations,P3,Lab diamond quality tiers: why a D VVS1 can still look bad,cheap lab diamonds bad quality,backlog,,,,,
tiktok-shop-whatnot-jewelry-auctions,/blog/tiktok-shop-whatnot-jewelry-auctions/,1 Investigations,P3,Are TikTok Shop and Whatnot jewelry auctions worth it?,whatnot diamond auction,backlog,,,,,
engagement-ring-cost,/engagement-ring-cost/,2 Pricing,P1,How much does a custom engagement ring cost in 2026? (hub),custom engagement ring cost,backlog,,2026-12-01,,,
5000-dollar-engagement-ring,/blog/5000-dollar-engagement-ring/,2 Pricing,P1,"What a $5,000 engagement ring gets you in 2026",$5000 engagement ring,published,2026-09-07,2026-12-15,,,
3000-dollar-engagement-ring,/blog/3000-dollar-engagement-ring/,2 Pricing,P1,"What a $3,000 engagement ring gets you in 2026",$3000 engagement ring,backlog,,2026-12-15,,,
10000-dollar-engagement-ring,/blog/10000-dollar-engagement-ring/,2 Pricing,P1,"What a $10,000 engagement ring gets you in 2026",$10000 engagement ring,backlog,,2026-12-15,,,
2-carat-lab-diamond-ring-price,/blog/2-carat-lab-diamond-ring-price/,2 Pricing,P1,2 carat lab grown diamond ring price in 2026,2 carat lab grown diamond ring price,backlog,,2026-12-15,,,
custom-ring-setting-cost,/blog/custom-ring-setting-cost/,2 Pricing,P1,How much does a custom ring setting cost without the stone?,custom ring setting cost,backlog,,2026-12-15,,,
2000-dollar-engagement-ring,/blog/2000-dollar-engagement-ring/,2 Pricing,P2,"What a $1,500 to $2,000 engagement ring gets you",engagement ring under 2000,backlog,,2026-12-15,,,
20000-dollar-engagement-ring,/blog/20000-dollar-engagement-ring/,2 Pricing,P2,"What a $20,000+ engagement ring gets you",20k engagement ring,backlog,,2026-12-15,,,
1-carat-lab-diamond-ring-price,/blog/1-carat-lab-diamond-ring-price/,2 Pricing,P2,1 carat lab diamond ring price in 2026,1 carat lab grown diamond ring price,backlog,,2026-12-15,,,
3-carat-lab-diamond-ring-price,/blog/3-carat-lab-diamond-ring-price/,2 Pricing,P2,3 carat lab diamond ring price in 2026,3 carat lab diamond ring cost,backlog,,2026-12-15,,,
gold-price-engagement-rings,/blog/gold-price-engagement-rings/,2 Pricing,P2,"Why gold at $4,700 an ounce changed engagement ring prices",gold price engagement ring,backlog,,2026-12-15,,,
is-custom-engagement-ring-more-expensive,/blog/is-custom-engagement-ring-more-expensive/,2 Pricing,P2,Is a custom engagement ring more expensive than buying one?,is custom more expensive,backlog,,2026-12-15,,,
how-much-to-spend-engagement-ring,/blog/how-much-to-spend-engagement-ring/,2 Pricing,P2,How much should you spend on an engagement ring?,how much to spend on engagement ring,backlog,,2026-12-15,,,
lab-vs-natural-diamond-price,/blog/lab-vs-natural-diamond-price/,2 Pricing,P2,Lab vs natural diamond price comparison by carat,lab vs natural diamond price,backlog,,2026-12-15,,,
engagement-ring-payment-plans,/blog/engagement-ring-payment-plans/,2 Pricing,P3,Engagement ring deposits and payment plans,engagement ring payment plan,backlog,,2026-12-15,,,
platinum-vs-18k-vs-14k-price,/blog/platinum-vs-18k-vs-14k-price/,2 Pricing,P3,Platinum vs 18k vs 14k gold: real price difference on the same ring,platinum vs white gold price,backlog,,2026-12-15,,,
average-engagement-ring-cost,/blog/average-engagement-ring-cost/,2 Pricing,P3,Average engagement ring cost 2026,average engagement ring cost 2026,backlog,,2026-12-15,,,
design-custom-engagement-ring-online,/blog/design-custom-engagement-ring-online/,3 Process,P1,"How to design a custom engagement ring online, step by step",design custom engagement ring online,backlog,,,,,
how-long-custom-engagement-ring-takes,/blog/how-long-custom-engagement-ring-takes/,3 Process,P1,How long does a custom engagement ring take? Real timelines,how long does a custom engagement ring take,published,2026-09-07,,,,
wax-model-ring-try-on,/blog/wax-model-ring-try-on/,3 Process,P1,What is a wax model try-on?,ring wax model,published,2026-09-07,,,,
cad-engagement-ring-design,/blog/cad-engagement-ring-design/,3 Process,P1,CAD engagement ring design: what renders show and hide,cad engagement ring design,backlog,,,,,
custom-vs-customizable-ring,/blog/custom-vs-customizable-ring/,3 Process,P1,Custom vs customizable: why a ring builder is not a custom ring,ring builder vs custom,published,2026-09-07,,,,
copy-ring-from-pinterest,/blog/copy-ring-from-pinterest/,3 Process,P2,Can a jeweler copy a ring from Pinterest or Instagram?,copy engagement ring from picture,backlog,,,,,
custom-jeweler-red-flags,/blog/custom-jeweler-red-flags/,3 Process,P2,Red flags when hiring a custom jeweler,custom jeweler red flags,backlog,,,,,
custom-ring-consultation,/blog/custom-ring-consultation/,3 Process,P2,What to bring to your first custom ring consultation,custom ring consultation,backlog,,,,,
custom-ring-design-revisions,/blog/custom-ring-design-revisions/,3 Process,P2,How many rounds a custom ring design really takes,ring design revisions,backlog,,,,,
made-to-order-vs-inventory,/blog/made-to-order-vs-inventory/,3 Process,P2,Made to order vs made from inventory,made to order engagement ring,backlog,,,,,
find-ring-size-secretly,/blog/find-ring-size-secretly/,3 Process,P2,How to secretly find her ring size: 7 methods ranked,how to find ring size secretly,backlog,,,,,
appraisal-vs-grading-report,/blog/appraisal-vs-grading-report/,3 Process,P3,Engagement ring appraisal vs grading report,engagement ring appraisal,backlog,,,,,
insure-custom-engagement-ring,/blog/insure-custom-engagement-ring/,3 Process,P3,How to insure a custom engagement ring,engagement ring insurance,backlog,,,,,
can-custom-ring-be-resized,/blog/can-custom-ring-be-resized/,3 Process,P3,Can a custom ring be resized later?,can engagement rings be resized,backlog,,,,,
rush-custom-engagement-ring,/blog/rush-custom-engagement-ring/,3 Process,P3,"Rush custom engagement rings: 2, 3 and 4 weeks",rush engagement ring,backlog,,,,,
ship-engagement-ring-internationally,/blog/ship-engagement-ring-internationally/,3 Process,P3,Shipping an engagement ring internationally,ship engagement ring internationally,backlog,,,,,
who-makes-your-ring,/blog/who-makes-your-ring/,3 Process,P3,Who actually makes your ring?,how engagement rings are made,backlog,,,,,
engagement-ring-styles,/engagement-ring-styles/,4 Styles,P1,Engagement ring styles (hub),engagement ring styles,backlog,,,,,
toi-et-moi-engagement-rings,/blog/toi-et-moi-engagement-rings/,4 Styles,P1,Toi et moi engagement rings: how to design one that works,toi et moi engagement ring,published,2026-09-07,,,,
east-west-engagement-rings,/blog/east-west-engagement-rings/,4 Styles,P1,East-west engagement rings: which cuts work,east west engagement ring,backlog,,,,,
bezel-set-engagement-rings,/blog/bezel-set-engagement-rings/,4 Styles,P1,"Bezel set engagement rings: pros, cons, modern bezels",bezel engagement ring,backlog,,,,,
hidden-halo-engagement-rings,/blog/hidden-halo-engagement-rings/,4 Styles,P1,"Hidden halo engagement rings: what it adds, what it costs",hidden halo engagement ring,backlog,,,,,
oval-engagement-rings,/blog/oval-engagement-rings/,4 Styles,P2,"Oval engagement rings: ratios, bow-tie, settings",oval engagement ring,backlog,,,,,
elongated-cushion-engagement-rings,/blog/elongated-cushion-engagement-rings/,4 Styles,P2,Elongated cushion engagement rings,elongated cushion ring,backlog,,,,,
